best_lr,threshold,test_macro_f1,test_macro_recall,test_recall_pos,test_roc_auc,test_accuracy,test_brier,test_ece,model,split_seed,n_features,fields
0.01,0.4,0.9067834341297929,0.9133785704563095,0.9219438116932422,0.9561542365904578,0.916293507022186,0.14509973398626863,0.2978143748460966,tags_drop_evidence,4,31,claim+cta+theme
0.01,0.45,0.7073070849246317,0.741834735673868,0.8626555711024376,0.8449646016223046,0.8257722308892356,0.16496833815367465,0.25418731754194135,tags_full,5,36,claim+cta+evidence+theme
0.001,0.5,0.6299382444517065,0.7214947061551984,0.7259002872081891,0.7826699842001473,0.7245553822152886,0.2485511928303588,0.3473178013112323,tags_theme_only,5,11,theme
0.003,0.45,0.6241142351300124,0.6362432594411179,0.8550703291847706,0.653377299021859,0.7882683307332293,0.24791018809005405,0.350703804297475,tags_claim_only,5,12,claim
0.01,0.35,0.6807594437242988,0.6867269466458266,0.8922601075189631,0.8132886791849543,0.8295163806552263,0.1943177049529152,0.29429988152455977,tags_cta_only,5,8,cta
0.001,0.5,0.5138718711374064,0.7085825613199449,0.4752190882981074,0.7162746098555217,0.5464586583463339,0.24448347605897575,0.3417336553089656,tags_evidence_only,5,5,evidence
0.01,0.45,0.7048820135044972,0.7386212188424999,0.8623609986007806,0.831453827898003,0.8245865834633386,0.17071923932078414,0.2607875450937351,tags_style_only_no_theme,5,25,claim+cta+evidence
0.01,0.4,0.6589850958998101,0.6796821958922792,0.8569114073201267,0.8320060610158886,0.802808112324493,0.17497673044069129,0.26535546478131683,tags_drop_claim,5,24,cta+evidence+theme
0.001,0.5,0.6358066592032835,0.7193175522277587,0.7423963473009795,0.8010024557543611,0.7353510140405616,0.24346247955152148,0.3447832302976467,tags_drop_cta,5,28,claim+evidence+theme
0.01,0.45,0.7137771091058766,0.7393299812363578,0.8776787686869431,0.8368428126326803,0.8354446177847114,0.17405644366940903,0.2711840185521807,tags_drop_evidence,5,31,claim+cta+theme
0.01,0.4,0.8386324237149272,0.8590237341809883,0.8233391915641476,0.9365372275863054,0.8476962259782357,0.17456985889021817,0.30078703562589854,tags_full,6,36,claim+cta+evidence+theme
0.001,0.5,0.7710295499838666,0.8076317803854987,0.7106502636203866,0.8416921257270129,0.7768464922435749,0.2478366513853329,0.2720609080647538,tags_theme_only,6,11,theme
0.003,0.45,0.8812000399607387,0.8795722935092869,0.923866432337434,0.8816105286000101,0.8936327853669831,0.23502838562740686,0.3409325351008043,tags_claim_only,6,12,claim
0.01,0.35,0.8573430507991298,0.8668335745779809,0.8723374340949034,0.8863781491965004,0.8685806899745312,0.19419923128017233,0.2548870117434883,tags_cta_only,6,8,cta
0.001,0.5,0.4276268338181697,0.5504123018077849,0.21195079086115992,0.5570129747491969,0.44297291039592496,0.24816632259381147,0.15695329359882537,tags_evidence_only,6,5,evidence
0.01,0.4,0.8734354769140412,0.8860870674586804,0.8754305799648506,0.9299337741711635,0.8827043297059505,0.17679261489691075,0.30324440373034356,tags_style_only_no_theme,6,25,claim+cta+evidence
0.01,0.4,0.8084465653367958,0.8377531101482523,0.7688576449912127,0.9202582406707477,0.8158833063209077,0.1920806026763033,0.27784280271087086,tags_drop_claim,6,24,cta+evidence+theme
0.01,0.5,0.8157656790330434,0.842873569522574,0.7823550087873462,0.9215565454402378,0.8236628849270664,0.19851943578162082,0.3281502039117552,tags_drop_cta,6,28,claim+evidence+theme
0.01,0.4,0.8774374782609151,0.887560289302807,0.88597539543058,0.9355009931966626,0.8870571891641583,0.17147736186324128,0.29891624372679976,tags_drop_evidence,6,31,claim+cta+theme
0.01,0.45,0.8118345705754096,0.8151983021663218,0.8799621239711559,0.9137201056054696,0.8417081558281578,0.14234269805532257,0.21014468179276977,tags_full,7,36,claim+cta+evidence+theme
0.001,0.5,0.7456328973586401,0.7720965781011568,0.7678636462961614,0.8498919561997718,0.7703639069958426,0.24771212266591988,0.2662063188209119,tags_theme_only,7,11,theme
0.001,0.5,0.5776807357364762,0.6346380238376136,0.5160608930002185,0.759402922143575,0.5861007031771288,0.24765905190587972,0.21117230223209676,tags_claim_only,7,12,claim
0.01,0.35,0.8111366890031051,0.8088254129610989,0.8946755044067303,0.879821143337872,0.8439665349278859,0.1782183060513322,0.20593397847407446,tags_cta_only,7,8,cta
0.001,0.5,0.7060688385424561,0.7734480908346183,0.6304902032194625,0.7931732270827734,0.7149309654570651,0.24490454534565384,0.20946139224250154,tags_evidence_only,7,5,evidence
0.01,0.45,0.8113366074305869,0.8143600072944851,0.8805448321072183,0.9021254960304274,0.8414515218395524,0.14963029943084288,0.21198549590946117,tags_style_only_no_theme,7,25,claim+cta+evidence
0.01,0.4,0.8033511193023251,0.8049503190425784,0.8794522543521014,0.9080904059925768,0.8354462865061849,0.15235581684737684,0.17066300204456722,tags_drop_claim,7,24,cta+evidence+theme
0.01,0.55,0.7416695606166204,0.7724793917252153,0.7526403962415326,0.8895515223389301,0.764358671662475,0.17557314177751313,0.2509569490771215,tags_drop_cta,7,28,claim+evidence+theme
0.01,0.45,0.815519458871617,0.8174390359714674,0.8860077208828028,0.8960744495217051,0.8455063388595185,0.1559412393185477,0.2300540999693606,tags_drop_evidence,7,31,claim+cta+theme
0.01,0.4,0.6285013326591766,0.6538971095928559,0.8145611364789447,0.8256867911788603,0.6299935219175125,0.18509687278243275,0.21326895865251624,tags_full,8,36,claim+cta+evidence+theme
0.001,0.5,0.38571630731303813,0.48857727461728906,0.8457635717909691,0.37185133686575644,0.4354351112070827,0.25049104551395296,0.07473195902564474,tags_theme_only,8,11,theme
0.003,0.45,0.6055745569079245,0.6279171578108131,0.7714358193810249,0.5803789582403497,0.6065644569207514,0.23943334931070925,0.07309263283287894,tags_claim_only,8,12,claim
0.01,0.35,0.8098328554224228,0.8097718611597486,0.7808219178082192,0.8344596508394274,0.8140790326063485,0.18410223625659883,0.1845398728595641,tags_cta_only,8,8,cta
0.001,0.5,0.5669743991391704,0.5933834777201756,0.2645865043125317,0.5961341948859973,0.6423018786439214,0.24898647677844304,0.1407414845531777,tags_evidence_only,8,5,evidence
0.003,0.45,0.8057850654204655,0.8028845897086705,0.7399797057331304,0.8364693125507833,0.8122435759015332,0.20989162912535214,0.2134657483602768,tags_style_only_no_theme,8,25,claim+cta+evidence
0.01,0.4,0.8096670422686829,0.8047117889854012,0.7156265854895992,0.8147377099522017,0.8179658820988988,0.19083261016011535,0.206826888091445,tags_drop_claim,8,24,cta+evidence+theme
0.01,0.5,0.6168208803818842,0.6306034301888663,0.7232369355657027,0.6170058183891998,0.6168214208594256,0.22836753602915316,0.13498634811563232,tags_drop_cta,8,28,claim+evidence+theme
0.01,0.4,0.6288312070093967,0.6546672999088283,0.8176052765093861,0.8189520843585371,0.6304253940833513,0.18847502178784709,0.22345657340963734,tags_drop_evidence,8,31,claim+cta+theme
0.01,0.4,0.6160075381115073,0.6137896776725702,0.8262032085561497,0.6655670643292066,0.6697635135135135,0.2294827534719168,0.13015401441934332,tags_full,9,36,claim+cta+evidence+theme
0.001,0.5,0.5874139992855922,0.5999934586011219,0.5837789661319073,0.6173392383086124,0.5957207207207207,0.24982337407149874,0.13458438100863027,tags_theme_only,9,11,theme
0.003,0.45,0.6032208074091446,0.6041881306317356,0.8605169340463458,0.5890611457260135,0.6717342342342343,0.24569337194483173,0.13855330962025939,tags_claim_only,9,12,claim
0.01,0.35,0.583093718419978,0.5870517097581318,0.8560606060606061,0.6380753024034189,0.6579391891891891,0.23635828244206333,0.13111463705089005,tags_cta_only,9,8,cta
0.001,0.5,0.4093980121863144,0.521909597867504,0.18449197860962566,0.5256869150217774,0.4329954954954955,0.2492474881252546,0.1305167337039817,tags_evidence_only,9,5,evidence
0.003,0.45,0.6042019814750719,0.6021786946638539,0.783868092691622,0.6602959574154933,0.6500563063063063,0.24278559109185213,0.15436741483253652,tags_style_only_no_theme,9,25,claim+cta+evidence
0.01,0.4,0.6223285486443382,0.6245748090729203,0.6956327985739751,0.643162943520472,0.6432995495495496,0.23831181958907327,0.13938638925997365,tags_drop_claim,9,24,cta+evidence+theme
0.001,0.5,0.6201694616889296,0.6280335737297421,0.6475044563279857,0.6538543830098068,0.6331644144144144,0.24782494644882697,0.13759434802956927,tags_drop_cta,9,28,claim+evidence+theme
0.01,0.45,0.6368835851561884,0.6393195309817005,0.7067736185383244,0.6644693358299671,0.6570945945945946,0.2279630502050121,0.12623738572070842,tags_drop_evidence,9,31,claim+cta+theme
